UAT ID,Module / Process,Test Scenario,Business Objective,Persona,Preconditions,Test Data,Navigation,Step-by-Step User Actions,Expected Result,Expected Status,Expected Notification,Expected Next User,Security / SoD Expectation,Evidence Required,Actual Result,Result,Defect ID,Tester,Execution Date,Comments
IA-UAT-REM-001,Reminders & Escalations,Due soon and due today reminders,Confirm timely chasing,Finance Management / Auditee (audit.mgmt.finance),Action due shortly,-,Management workspace and email,1. Review reminders for an action due soon and due today.,Correct recipient is reminded at the configured points and duplicates are not sent,Open,Yes - owner,Action owner,Reminders go only to the responsible department,Reminder history screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-REM-002,Reminders & Escalations,Escalation recipients,Confirm escalation routing,Head of Internal Audit (audit.hia),Action overdue beyond threshold,-,Action Centre > Escalations,1. Review escalation records for an overdue action.,"Escalation reaches department head, Lead Auditor and the Head of Internal Audit in the configured order",Escalated,Yes,Head of Internal Audit,-,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-QAR-001,Quality Review,Quality review assignment is visible,Confirm the reviewer can reach the engagement,Quality Reviewer (audit.qa),Engagement ready for review,-,Quality Review workspace,"1. Sign in as the Quality Reviewer. 2. Open the assigned engagement, evidence and draft report.",The assigned engagement opens and its evidence and report are readable,Under QA,Yes,Quality Reviewer,Reviewer must not be the engagement Lead,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-QAR-002,Quality Review,Request rework (UAT-H),Confirm rework loop,Quality Reviewer (audit.qa),Engagement under review,Rework reason,Quality Review > engagement,"1. Complete the checklist. 2. Request rework with a reason. 3. As the Lead, revise and resubmit. 4. Re-review and clear.","Rework requires a reason, revision is recorded and the final review clears the engagement",QA Satisfactory,Yes - Lead Auditor,Lead Auditor,-,Screenshots of rework and clearance,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-QAR-003,Quality Review,Reviewer cannot perform audit work,Segregation of duties,Quality Reviewer (audit.qa),Engagement under review,-,Quality Review > engagement tabs,"1. Attempt to edit the programme, record fieldwork, alter a management response and issue the report.",All four attempts are refused,Denied,No,-,QA is review-only,Screenshots of refusals,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-RPT-001,Draft & Final Report,Draft report content reconciles,Confirm the report reflects the audit record,Lead Auditor (audit.lead),Findings and responses complete,-,Audits > engagement > Report,"1. Generate the draft report. 2. Compare findings, responses and actions with the engagement tabs.",The draft matches current audit records with no placeholder content,Draft Report,No,Quality Reviewer,-,Screenshot of draft report,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-RPT-002,Draft & Final Report,Issuance is blocked before quality clearance,Confirm the gate,Lead Auditor (audit.lead),QA outstanding,-,Audits > engagement > Report,1. Attempt to issue the final report while quality review is outstanding.,Issuance is refused with a clear reason,Denied,No,Quality Reviewer,-,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-RPT-003,Draft & Final Report,Issue the final report,Confirm formal issuance and distribution,Lead Auditor (audit.lead),QA satisfactory,Final report,Audits > engagement > Report > Issue,1. Issue the final report to the auditee and the Head of Internal Audit.,"Report is issued with version, issued date, issuer and recipients; the communicated version matches the issued version",Issued,Yes - auditee and Head of Internal Audit,Auditee management,Only the audited department receives it,Screenshot and communication history,Failed in first pass; retested after Remediation Wave 1 and now meets the expected result.,PASS AFTER REMEDIATION,UAT-DEF-04,UAT Team (real persona sessions),2026-08-31,
IA-UAT-CLS-001,Audit Closure,Closure blocked with outstanding actions,Mandatory negative,Head of Internal Audit (audit.hia),"Report issued, actions open",-,Audits > engagement > Closure,1. Attempt ordinary closure while corrective actions remain open.,Closure as Closed is refused and the blocking items are listed,Denied,No,-,-,Screenshot of blockers,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-CLS-002,Audit Closure,Closed - Actions Pending,Confirm the alternative disposition,Head of Internal Audit (audit.hia),"Report issued, actions open",-,Audits > engagement > Closure,1. Close the engagement as Closed - Actions Pending.,Engagement closes with the pending disposition recorded,Closed - Actions Pending,Yes - auditee and team,Action owners,-,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-CLS-003,Audit Closure,Ordinary closure of the clean audit (UAT-A),Confirm clean closure,Head of Internal Audit (audit.hia),"Clean engagement, report issued, QA cleared",-,Audits > engagement > Closure,1. Close the engagement.,"Engagement is Closed with closure date, closer and summary",Closed,Yes,Head of Internal Audit,-,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-FUP-001,Follow-Up,Post-closure obligations remain live,Confirm closure does not erase obligations,Benefits Management / Auditee (audit.mgmt.benefits),Engagement closed with actions pending,-,Management workspace > Actions,"1. After closure, open the outstanding action. 2. Update it and submit completion evidence.",The action remains active and can be progressed and verified after closure,Open after closure,Yes,Action owner then audit verifier,-,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-FUP-002,Follow-Up,Follow-up review and outcome,Confirm independent follow-up,Audit Team Member 2 (audit.auditor2),Action completed,Follow-up record,Internal Audit > Follow-Up Tracker,1. Schedule a follow-up with owner and due date. 2. Record the outcome as Implemented. 3. Close the follow-up.,Follow-up is completed and no further reminders are produced,Implemented,Yes - owner,-,"Follow-up is performed by audit, not management",Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-CFW-001,Carry-Forward,Carry an unfinished audit forward (UAT-I),Confirm cross-year continuity,Head of Internal Audit (audit.hia),Engagement unfinished at year end,Next fiscal year plan,Annual Plan > Closeout > disposition,1. Mark the unfinished engagement as Carried Forward with a reason. 2. Open the next-year plan.,A successor engagement exists in the following year with visible lineage to the source year and engagement,Carried Forward,Yes - Lead Auditor,Lead Auditor,-,Screenshot of lineage,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-CFW-002,Carry-Forward,Carry-forward is not follow-up,Confirm the two concepts are distinct,Head of Internal Audit (audit.hia),Carry-forward and follow-up both exist,-,Follow-Up Tracker and Plan Closeout,1. Compare the carried-forward engagement with corrective action follow-ups.,The two are presented separately and are not conflated,Read-only pass,No,-,-,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-PCL-001,Annual Plan Closeout,Plan closure precheck,Confirm the closure gate,Head of Internal Audit (audit.hia),One engagement unfinished,-,Annual Plan > Closeout,1. Attempt to close the annual plan while an engagement has no terminal disposition.,Closure is refused and the outstanding engagement is named,Denied,No,-,-,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-PCL-002,Annual Plan Closeout,Close the annual plan,Confirm formal plan closure,Head of Internal Audit (audit.hia),All engagements dispositioned,-,Annual Plan > Closeout,1. Apply dispositions to all engagements. 2. Close the plan.,"Plan is closed with summary, closer and date, and the history is immutable",Closed,Yes - audit team,-,Only the Head of Internal Audit may close,Screenshot of closure summary,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-ACC-001,Action Centre,Action Centre queues for the audit team,Confirm the work queue is accurate,Lead Auditor (audit.lead),Portfolio active,-,Internal Audit > Action Centre,1. Review each tab and its count. 2. Drill into one record from each tab.,Counts match the listed records and drill-down opens the right record,Read-only pass,No,-,-,Screenshot of each tab,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-ACC-002,Action Centre,Action Centre for management,Confirm the auditee sees only its obligations,Compliance Management / Auditee (audit.mgmt.compliance),Compliance obligations exist,-,Management workspace > Action Centre,1. Review the queues as Compliance Management.,Only Compliance obligations are listed,Read-only pass,No,-,No Benefits or Finance records,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-REG-001,Registers,Audit and finding registers,Confirm the registers are complete,Head of Internal Audit (audit.hia),Portfolio active,-,Internal Audit > Registers,1. Open the audit register and the finding register. 2. Apply filters and drill down.,"Registers list the current portfolio, filters work and drill-down opens the record",Read-only pass,No,-,-,Screenshots,Failed in first pass; retested after Remediation Wave 1 and now meets the expected result.,PASS AFTER REMEDIATION,UAT-DEF-04,UAT Team (real persona sessions),2026-08-31,
IA-UAT-REG-002,Registers,"Action, follow-up and carry-forward registers",Confirm the remaining registers,Head of Internal Audit (audit.hia),Actions and follow-ups exist,-,Internal Audit > Registers,"1. Open the action, follow-up and carry-forward registers. 2. Check counts against the source screens.",Counts reconcile with the source screens,Read-only pass,No,-,-,Screenshots,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-EXP-001,Exports,Export a register,Confirm exports reconcile,Head of Internal Audit (audit.hia),Register loaded,-,Registers > Export,1. Note the on-screen record count. 2. Export to CSV and to Excel.,Exported row count equals the on-screen count,Read-only pass,No,-,-,Screenshot and exported file,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-EXP-002,Exports,Filtered export and printable report,Confirm filtered output,Head of Internal Audit (audit.hia),Filter applied,Overdue only filter,Registers and Reports,1. Apply a filter and export. 2. Produce the printable or PDF version of a report.,The filtered export matches the filtered view and the printable output is legible,Read-only pass,No,-,-,Screenshot and file,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-DSH-001,Dashboard,Head of Internal Audit dashboard,Confirm the dashboard is trustworthy,Head of Internal Audit (audit.hia),Portfolio active,-,Internal Audit > Dashboard,1. Review each indicator. 2. Compare with the corresponding register.,Every indicator reconciles with its source screen,Read-only pass,No,-,-,Screenshot with comparison,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-DSH-002,Dashboard,Management dashboard view,Confirm the auditee view,Finance Management / Auditee (audit.mgmt.finance),Finance obligations exist,-,Management workspace,1. Review the indicators as Finance Management.,Indicators cover Finance obligations only,Read-only pass,No,-,No other department data,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-SCH2-001,Search & Filters,Search by business reference,Confirm records can be found by reference,Lead Auditor (audit.lead),Records exist,"Engagement, finding, action references",Global or module search,"1. Search by engagement reference, then finding reference, then action reference.",Each search returns the expected record,Read-only pass,No,-,-,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-SCH2-002,Search & Filters,Filter combinations,Confirm filters behave,Head of Internal Audit (audit.hia),Portfolio active,"Year, department, severity, status, overdue",Registers,"1. Apply year, department, severity, status and overdue filters in combination.",Results narrow correctly and counts update,Read-only pass,No,-,-,Screenshot,Expected business outcome achieved; usability/messaging expectation not met. Accepted to post-UAT backlog.,FAIL (DEFERRED),UAT-DEF-06,UAT Team (real persona sessions),2026-08-31,
IA-UAT-COM-001,Communication (Email / In-App),Representative live email set,Confirm real delivery for key business events,Lead Auditor (audit.lead),Email pilot active within caps,"Intimation, information request, response requested, action assignment, overdue, final report, follow-up",Communication history and mailbox,"1. Trigger the representative business events across Benefits, Compliance and Finance. 2. Confirm receipt.",Each event produces the expected email to the expected recipient within release caps,Sent,Yes,Respective recipients,No cross-department delivery,Communication log screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-COM-002,Communication (Email / In-App),Communication history for the auditor,Confirm the auditor can review the conversation,Lead Auditor (audit.lead),Communications issued,-,Audits > engagement > Communications,"1. Review schedule, request, query, finding, response, action, report and follow-up communications.",A complete business communication history is available,Read-only pass,No,-,-,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-COM-003,Communication (Email / In-App),No cross-department leakage,Mandatory confidentiality test,Finance Management / Auditee (audit.mgmt.finance),Communications issued to all three departments,-,Management workspace > Communications,1. As Finance Management review the communication list. 2. Repeat as Benefits and Compliance.,Each department sees only its own communications,Read-only pass,No,-,Strict department isolation,Screenshots for all three,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-SEC-001,Role / Permission / SoD Negatives,Lead cannot approve the plan they prepared,Segregation of duties,Lead Auditor (audit.lead),Plan submitted by the Lead,-,Plan approval screen and direct address,1. Open the plan approval screen from the menu and by direct address. 2. Attempt approval.,Approval is refused,Denied,No,-,Preparer cannot approve,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-SEC-002,Role / Permission / SoD Negatives,Team member cannot approve a plan,Segregation of duties,Audit Team Member 1 (audit.auditor1),Plan submitted,-,Direct navigation to plan approval,1. Enter the plan approval address directly.,Access is refused,Denied,No,-,-,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-SEC-003,Role / Permission / SoD Negatives,Lead cannot quality review own engagement,Segregation of duties,Lead Auditor (audit.lead),Engagement led by this user,-,Quality review screen,1. Attempt to record a quality review outcome on the own engagement.,The action is refused,Denied,No,-,-,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-SEC-004,Role / Permission / SoD Negatives,Quality Reviewer cannot perform fieldwork,Segregation of duties,Quality Reviewer (audit.qa),Engagement in fieldwork,-,Direct navigation to control testing,1. Attempt to record a control test result.,The action is refused,Denied,No,-,-,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-SEC-005,Role / Permission / SoD Negatives,Quality Reviewer cannot issue the final report,Segregation of duties,Quality Reviewer (audit.qa),QA satisfactory,-,Engagement report tab,1. Attempt to issue the report.,The action is refused,Denied,No,-,-,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-SEC-006,Role / Permission / SoD Negatives,Management cannot modify a finding,Confidentiality and integrity,Benefits Management / Auditee (audit.mgmt.benefits),Finding released,-,Management workspace > Findings,1. Attempt to edit the finding text or severity.,Only responding is possible; editing is refused,Denied,No,-,-,Screenshot,Failed in first pass; retested after Remediation Wave 1 and now meets the expected result.,PASS AFTER REMEDIATION,UAT-DEF-02,UAT Team (real persona sessions),2026-08-31,
IA-UAT-SEC-007,Role / Permission / SoD Negatives,Management cannot see auditor working papers,Confidentiality,Benefits Management / Auditee (audit.mgmt.benefits),Working papers exist,-,Direct navigation to working papers,1. Enter the working papers address directly.,Access is refused or redirected to a safe page,Denied,No,-,-,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-SEC-008,Role / Permission / SoD Negatives,Management cannot see another department's records,Confidentiality,Compliance Management / Auditee (audit.mgmt.compliance),Benefits records exist,Benefits engagement reference,Direct navigation to a Benefits engagement,1. Enter a Benefits engagement address directly as Compliance Management.,Access is refused and no Benefits data is displayed,Denied,No,-,-,Screenshot,Expected business outcome achieved; usability/messaging expectation not met. Accepted to post-UAT backlog.,FAIL (DEFERRED),UAT-DEF-05,UAT Team (real persona sessions),2026-08-31,
IA-UAT-SEC-009,Role / Permission / SoD Negatives,Management cannot self-verify a corrective action,Segregation of duties,Finance Management / Auditee (audit.mgmt.finance),Action completed,-,Management workspace > Actions,1. Attempt verification.,The action is refused,Denied,No,-,-,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-SEC-010,Role / Permission / SoD Negatives,Audit Administrator cannot act as Head of Internal Audit,Authority boundary,Audit System Administrator (audit.admin),Plan submitted,-,Direct navigation to plan approval and closure,1. Attempt plan approval and engagement closure.,Both are refused,Denied,No,-,-,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-SEC-011,Role / Permission / SoD Negatives,Unauthenticated access is refused,Perimeter security,Unauthenticated visitor,Signed out,-,Direct navigation to audit addresses,"1. Open audit dashboard, engagement, findings and action centre addresses without signing in.",All requests are redirected to sign-in with no audit data displayed,Denied,No,-,-,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-SEC-012,Role / Permission / SoD Negatives,Closed plan cannot be casually amended,Record integrity,Lead Auditor (audit.lead),Plan closed,-,Annual Plan,1. Attempt to add an engagement or change the closed plan.,The change is refused and the closed record remains intact,Denied,No,-,-,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-USM-001,User Manual Alignment & Usability,Live system matches the user manual,Documentation alignment,Lead Auditor (audit.lead),User manual available,docs/audit/user-manual,Internal Audit > User Manuals,"1. Follow the manual's planning, fieldwork and closure procedures step by step in the live system. 2. Compare navigation, labels and screenshots.","Navigation, labels, workflow and statuses match the manual; differences are recorded as documentation defects",Read-only pass,No,-,-,Manual section and screen comparison,Expected business outcome achieved; usability/messaging expectation not met. Accepted to post-UAT backlog.,FAIL (DEFERRED),UAT-DEF-07,UAT Team (real persona sessions),2026-08-31,
IA-UAT-USM-002,User Manual Alignment & Usability,Business usability review,Usability acceptance,Head of Internal Audit (audit.hia),Portfolio active,-,Across the module,"1. Review labels, statuses, buttons, empty states, loading states, error messages, required-field indication, date format and table readability.",A business user can operate the module without technical assistance; usability issues are logged separately from functional failures,Read-only pass,No,-,-,Notes and screenshots,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
